creationTimestamp | Name | Reason | Host | Component | Message
2024-02-16T10:30:44Z | testhttpserver-git-1-build.17b4513466549b9f | Scheduled | null | null | Successfully assigned brms-nayan/testhttpserver-git-1-build to worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com by master-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com
2024-02-16T10:30:46Z | testhttpserver-git-1-build.17b45134e45b17c1 | AddedInterface | null | multus | Add eth0 [10.128.2.154/23] from ovn-kubernetes
2024-02-16T10:30:46Z | testhttpserver-git-1-build.17b45134e6630f02 | Pulling | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Pulling image "quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:58dd98e3a73b47e0600f09a8c6241a9bf4d59806dae28a0fc05917673e1747c0"
2024-02-16T10:30:55Z | testhttpserver-git-1-build.17b45136ffd8f2d2 | Pulled | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Successfully pulled image "quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:58dd98e3a73b47e0600f09a8c6241a9bf4d59806dae28a0fc05917673e1747c0" in 9.01707257s
2024-02-16T10:30:55Z | testhttpserver-git-1-build.17b4513707547930 | Created | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Created container git-clone
2024-02-16T10:30:55Z | testhttpserver-git-1-build.17b4513708e592cf | Started | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Started container git-clone
2024-02-16T10:30:55Z | testhttpserver-git-1.17b451371b63c2da | BuildStarted | null | build-controller | Build brms-nayan/testhttpserver-git-1 is now running
2024-02-16T10:30:56Z | testhttpserver-git-1-build.17b45137555b54d8 | Pulled | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Container image "quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:58dd98e3a73b47e0600f09a8c6241a9bf4d59806dae28a0fc05917673e1747c0" already present on machine
2024-02-16T10:30:56Z | testhttpserver-git-1-build.17b451375d22cabd | Created | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Created container manage-dockerfile
2024-02-16T10:30:56Z | testhttpserver-git-1-build.17b451375e92e399 | Started | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Started container manage-dockerfile
2024-02-16T10:30:57Z | testhttpserver-git-1-build.17b4513791474cc2 | Pulled | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Container image "quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:58dd98e3a73b47e0600f09a8c6241a9bf4d59806dae28a0fc05917673e1747c0" already present on machine
2024-02-16T10:30:57Z | testhttpserver-git-1-build.17b45137996b98b6 | Created | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Created container docker-build
2024-02-16T10:30:57Z | testhttpserver-git-1-build.17b451379af125eb | Started | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Started container docker-build
2024-02-16T10:31:16Z | testhttpserver-git-1.17b4513c06adf6db | BuildFailed | null | build-controller | Build brms-nayan/testhttpserver-git-1 failed
2024-02-16T10:34:20Z | testhttpserver-git-2-build.17b45166cdc78a9d | Scheduled | null | null | Successfully assigned brms-nayan/testhttpserver-git-2-build to worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com by master-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com
2024-02-16T10:34:23Z | testhttpserver-git-2-build.17b451676141de1e | AddedInterface | null | multus | Add eth0 [10.128.2.155/23] from ovn-kubernetes
2024-02-16T10:34:23Z | testhttpserver-git-2-build.17b45167635a5276 | Pulled | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Container image "quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:58dd98e3a73b47e0600f09a8c6241a9bf4d59806dae28a0fc05917673e1747c0" already present on machine
2024-02-16T10:34:23Z | testhttpserver-git-2-build.17b451676a6ba5ed | Created | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Created container git-clone
2024-02-16T10:34:23Z | testhttpserver-git-2-build.17b451676bae6d9d | Started | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Started container git-clone
2024-02-16T10:34:23Z | testhttpserver-git-2.17b4516775b39ae4 | BuildStarted | null | build-controller | Build brms-nayan/testhttpserver-git-2 is now running
2024-02-16T10:34:24Z | testhttpserver-git-2-build.17b45167b18870cc | Pulled | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Container image "quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:58dd98e3a73b47e0600f09a8c6241a9bf4d59806dae28a0fc05917673e1747c0" already present on machine
2024-02-16T10:34:24Z | testhttpserver-git-2-build.17b45167b8e8ca80 | Created | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Created container manage-dockerfile
2024-02-16T10:34:24Z | testhttpserver-git-2-build.17b45167ba33aca2 | Started | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Started container manage-dockerfile
2024-02-16T10:34:25Z | testhttpserver-git-2-build.17b45167ed56c8c7 | Pulled | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Container image "quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:58dd98e3a73b47e0600f09a8c6241a9bf4d59806dae28a0fc05917673e1747c0" already present on machine
2024-02-16T10:34:25Z | testhttpserver-git-2-build.17b45167f3d348f9 | Created | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Created container docker-build
2024-02-16T10:34:25Z | testhttpserver-git-2-build.17b45167f56007c4 | Started | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Started container docker-build
2024-02-16T10:34:43Z | testhttpserver-git-2.17b4516c3b16f664 | BuildFailed | null | build-controller | Build brms-nayan/testhttpserver-git-2 failed
2024-02-16T10:36:00Z | testhttpserver-git-3-build.17b4517df4eb420d | Scheduled | null | null | Successfully assigned brms-nayan/testhttpserver-git-3-build to worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com by master-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com
2024-02-16T10:36:02Z | testhttpserver-git-3-build.17b4517e7a1265d1 | AddedInterface | null | multus | Add eth0 [10.128.2.156/23] from ovn-kubernetes
2024-02-16T10:36:02Z | testhttpserver-git-3-build.17b4517e7b9fafc6 | Pulled | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Container image "quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:58dd98e3a73b47e0600f09a8c6241a9bf4d59806dae28a0fc05917673e1747c0" already present on machine
2024-02-16T10:36:02Z | testhttpserver-git-3-build.17b4517e83e4b7c4 | Created | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Created container git-clone
2024-02-16T10:36:02Z | testhttpserver-git-3-build.17b4517e852360a9 | Started | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Started container git-clone
2024-02-16T10:36:02Z | testhttpserver-git-3.17b4517e98d2e4a2 | BuildStarted | null | build-controller | Build brms-nayan/testhttpserver-git-3 is now running
2024-02-16T10:36:03Z | testhttpserver-git-3-build.17b4517ed22f4ec2 | Pulled | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Container image "quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:58dd98e3a73b47e0600f09a8c6241a9bf4d59806dae28a0fc05917673e1747c0" already present on machine
2024-02-16T10:36:03Z | testhttpserver-git-3-build.17b4517eda6b4f38 | Created | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Created container manage-dockerfile
2024-02-16T10:36:03Z | testhttpserver-git-3-build.17b4517edbbb3e7b | Started | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Started container manage-dockerfile
2024-02-16T10:36:04Z | testhttpserver-git-3-build.17b4517f0e0affc9 | Pulled | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Container image "quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:58dd98e3a73b47e0600f09a8c6241a9bf4d59806dae28a0fc05917673e1747c0" already present on machine
2024-02-16T10:36:04Z | testhttpserver-git-3-build.17b4517f15a881f7 | Created | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Created container docker-build
